source,target,weight,time
0,4,1,0
0,6,6,0
0,7,8,0
0,8,2,0
0,16,1,0
2,4,3,0
2,10,1,0
2,15,1,0
2,18,2,0
2,23,1,0
4,5,1,0
6,0,4,0
9,17,2,0
10,0,5,0
11,0,1,0
12,0,1,0
14,0,5,0
14,7,1,0
14,20,1,0
16,26,2,0
16,28,1,0
17,1,3,0
17,23,1,0
18,8,1,0
18,26,2,0
21,0,1,0
21,5,1,0
21,12,1,0
21,14,3,0
21,16,1,0
22,0,5,0
24,29,2,0
27,0,1,0
28,17,1,0
29,19,2,0
0,2,3,1
0,7,3,1
0,8,3,1
0,19,2,1
2,0,1,1
4,1,1,1
4,4,4,1
4,12,1,1
5,0,1,1
6,0,2,1
7,9,1,1
9,2,1,1
9,8,1,1
9,14,5,1
10,12,1,1
10,13,1,1
10,16,2,1
10,28,1,1
11,1,1,1
12,2,2,1
12,3,2,1
12,4,1,1
12,5,1,1
12,13,2,1
12,20,1,1
14,0,2,1
14,3,2,1
16,0,2,1
17,1,3,1
17,4,4,1
21,1,3,1
21,19,2,1
22,0,5,1
24,1,1,1
24,2,3,1
24,3,1,1
25,5,2,1
25,9,1,1
25,17,1,1
26,8,5,1
26,28,2,1
27,0,2,1
0,2,5,2
0,6,4,2
0,7,1,2
0,15,1,2
2,9,2,2
2,15,2,2
2,23,2,2
2,27,1,2
3,2,1,2
3,4,1,2
3,9,1,2
4,0,6,2
4,4,1,2
4,15,1,2
4,18,1,2
6,3,1,2
7,22,2,2
9,0,2,2
9,8,2,2
9,13,2,2
9,14,3,2
9,28,1,2
10,0,2,2
10,11,7,2
10,12,2,2
12,0,4,2
12,2,2,2
12,4,1,2
12,5,3,2
12,15,1,2
12,20,1,2
12,23,1,2
14,0,1,2
14,10,1,2
16,9,1,2
16,17,2,2
17,0,1,2
17,1,2,2
17,9,2,2
17,15,2,2
20,11,2,2
21,14,1,2
22,0,1,2
22,2,2,2
24,18,1,2
25,1,1,2
26,8,5,2
26,15,1,2
0,1,6,3
0,2,4,3
0,3,3,3
0,5,1,3
0,7,6,3
0,8,2,3
0,15,3,3
0,19,1,3
0,20,2,3
0,21,3,3
0,23,1,3
0,25,2,3
2,6,3,3
3,9,1,3
4,0,1,3
4,1,1,3
4,6,2,3
4,7,2,3
4,23,2,3
9,24,2,3
10,0,3,3
10,11,5,3
12,0,5,3
12,2,3,3
12,4,1,3
12,15,1,3
14,0,1,3
16,0,1,3
16,9,1,3
17,0,2,3
17,4,2,3
17,9,2,3
18,7,1,3
20,1,1,3
20,8,2,3
22,0,3,3
22,12,2,3
24,1,1,3
24,18,1,3
25,2,2,3
25,4,2,3
26,7,2,3
26,8,2,3
26,13,1,3
26,14,4,3
26,15,1,3
27,12,2,3
27,15,1,3
28,17,2,3
29,28,1,3
0,1,5,4
0,2,3,4
0,5,4,4
0,6,3,4
0,7,1,4
0,12,2,4
0,17,4,4
0,27,4,4
2,0,1,4
3,2,1,4
4,0,3,4
4,1,2,4
4,18,1,4
4,21,1,4
6,0,1,4
7,0,1,4
9,2,2,4
9,14,3,4
9,17,2,4
10,11,1,4
10,14,2,4
12,0,3,4
12,9,1,4
12,13,1,4
14,0,6,4
16,28,1,4
17,1,1,4
18,8,1,4
18,19,1,4
18,26,1,4
20,0,1,4
21,0,2,4
22,0,5,4
22,12,1,4
24,1,1,4
24,23,2,4
25,4,1,4
26,8,1,4
26,28,1,4
27,10,1,4
0,1,2,5
0,5,6,5
0,6,1,5
0,7,6,5
0,9,1,5
0,10,2,5
0,20,3,5
0,28,3,5
2,0,4,5
2,2,2,5
2,27,4,5
2,29,1,5
3,5,1,5
4,0,2,5
4,4,3,5
4,13,2,5
6,2,1,5
7,0,2,5
9,13,1,5
10,0,2,5
12,0,4,5
12,2,1,5
12,3,2,5
12,27,3,5
14,0,4,5
15,1,1,5
16,0,1,5
16,14,1,5
17,9,1,5
18,0,2,5
18,11,3,5
21,0,2,5
21,7,1,5
21,11,2,5
21,12,1,5
21,13,2,5
21,25,2,5
22,0,6,5
22,15,2,5
22,27,3,5
24,2,3,5
26,13,1,5
26,15,1,5
26,17,1,5
27,1,1,5
0,1,1,6
0,3,2,6
0,4,3,6
0,5,2,6
0,6,5,6
0,10,1,6
0,16,5,6
0,18,1,6
0,28,1,6
1,3,2,6
2,0,2,6
2,4,1,6
3,4,1,6
4,3,4,6
4,4,1,6
4,15,1,6
4,20,4,6
7,0,7,6
9,14,1,6
10,5,1,6
10,19,1,6
12,3,2,6
12,5,2,6
12,20,2,6
14,0,5,6
15,0,2,6
16,12,3,6
17,0,2,6
17,1,2,6
17,2,3,6
17,15,2,6
17,22,2,6
21,0,1,6
21,11,1,6
21,19,1,6
22,0,2,6
22,6,1,6
24,0,2,6
24,1,2,6
26,8,1,6
26,26,2,6
28,17,2,6
0,1,4,7
0,5,2,7
0,7,4,7
0,10,12,7
0,15,1,7
0,16,3,7
0,17,2,7
0,20,1,7
0,22,1,7
0,26,2,7
2,0,2,7
2,1,1,7
2,2,1,7
2,15,1,7
2,29,2,7
4,5,2,7
4,18,1,7
7,0,6,7
9,13,2,7
10,0,2,7
10,13,2,7
11,0,1,7
12,0,1,7
12,2,4,7
12,9,1,7
12,20,2,7
12,29,4,7
14,0,2,7
14,1,2,7
16,28,1,7
17,0,1,7
17,17,2,7
21,2,2,7
22,0,2,7
22,6,2,7
24,2,1,7
26,1,2,7
27,3,1,7
28,17,2,7
29,0,2,7
0,1,1,8
0,3,1,8
0,5,1,8
0,6,3,8
0,7,2,8
0,8,3,8
0,10,2,8
0,15,1,8
1,3,1,8
2,0,1,8
2,18,1,8
3,1,2,8
3,16,1,8
3,29,1,8
4,1,3,8
4,4,1,8
4,5,1,8
4,15,1,8
7,0,4,8
7,15,2,8
10,0,2,8
10,11,1,8
10,14,1,8
12,0,2,8
12,2,3,8
12,4,1,8
12,5,1,8
12,6,2,8
12,11,2,8
12,18,1,8
14,0,6,8
14,1,2,8
14,7,2,8
14,11,1,8
21,0,1,8
22,0,5,8
25,3,1,8
26,14,2,8
28,0,2,8
0,1,2,9
0,3,1,9
0,4,4,9
0,6,4,9
0,7,4,9
0,8,2,9
0,10,2,9
0,16,1,9
0,17,2,9
0,20,4,9
0,23,1,9
2,1,1,9
2,18,1,9
3,3,2,9
3,4,1,9
3,5,1,9
3,15,2,9
4,1,2,9
4,4,2,9
4,5,1,9
7,0,4,9
7,9,1,9
7,22,2,9
9,8,2,9
9,13,2,9
9,19,3,9
10,13,1,9
11,0,1,9
11,1,1,9
12,2,4,9
12,3,1,9
12,7,1,9
12,20,4,9
14,0,2,9
14,9,2,9
16,13,1,9
17,0,2,9
17,1,1,9
17,2,2,9
17,4,1,9
17,6,1,9
21,0,2,9
22,0,3,9
22,3,1,9
24,1,1,9
24,3,1,9
24,18,2,9
24,21,2,9
24,24,2,9
25,0,1,9
27,0,2,9
0,1,3,10
0,4,1,10
0,5,2,10
0,6,4,10
0,7,3,10
0,9,2,10
0,10,2,10
0,14,2,10
0,15,3,10
2,9,1,10
3,9,1,10
4,13,2,10
6,0,2,10
7,22,2,10
9,13,2,10
9,14,2,10
9,17,1,10
10,11,1,10
10,14,2,10
12,0,2,10
12,2,1,10
12,3,3,10
12,21,2,10
12,25,1,10
14,0,1,10
15,0,2,10
16,11,1,10
16,13,1,10
16,14,2,10
16,28,4,10
17,1,2,10
17,2,4,10
17,4,1,10
18,19,2,10
21,12,1,10
21,14,2,10
22,0,1,10
22,5,1,10
24,0,2,10
24,3,1,10
26,8,3,10
26,12,2,10
26,13,1,10
26,26,1,10
27,2,1,10
27,3,2,10
28,17,2,10
0,1,4,11
0,3,1,11
0,4,2,11
0,6,1,11
0,7,4,11
0,8,1,11
0,11,1,11
0,16,1,11
0,17,1,11
0,26,2,11
0,29,1,11
2,1,1,11
2,7,1,11
3,2,1,11
4,3,6,11
4,4,1,11
10,0,2,11
10,11,2,11
10,28,1,11
11,0,1,11
11,4,1,11
11,6,1,11
11,16,2,11
12,0,5,11
12,4,1,11
12,5,1,11
12,11,3,11
12,18,1,11
14,0,6,11
14,18,1,11
15,0,2,11
17,0,3,11
17,1,4,11
17,2,6,11
17,4,3,11
17,21,4,11
17,24,2,11
17,29,3,11
18,8,1,11
18,19,2,11
21,0,1,11
22,0,4,11
24,0,2,11
24,3,3,11
24,18,1,11
25,2,2,11
26,0,1,11
26,1,1,11
26,13,3,11
26,17,1,11
27,0,2,11
29,0,2,11
29,28,2,11
0,1,5,12
0,3,4,12
0,6,4,12
0,7,4,12
0,8,3,12
0,19,3,12
0,20,1,12
2,0,1,12
3,1,1,12
3,2,3,12
4,1,1,12
4,4,2,12
4,9,1,12
4,18,3,12
7,0,2,12
9,8,1,12
10,0,2,12
10,12,1,12
10,15,1,12
11,0,1,12
12,0,1,12
12,2,2,12
12,3,4,12
12,4,5,12
12,5,1,12
12,9,3,12
12,21,1,12
14,0,1,12
16,0,3,12
16,14,2,12
16,28,2,12
17,0,1,12
17,1,3,12
17,2,2,12
18,11,2,12
18,14,2,12
21,7,1,12
21,8,2,12
22,0,3,12
22,3,1,12
22,26,1,12
24,1,7,12
24,3,3,12
24,5,2,12
25,2,2,12
26,1,2,12
26,13,2,12
27,16,3,12
27,22,1,12
28,0,1,12
28,16,2,12
29,11,1,12
0,1,2,13
0,3,2,13
0,6,2,13
0,7,3,13
0,8,2,13
0,16,1,13
0,17,6,13
0,19,1,13
0,23,1,13
2,9,5,13
2,17,3,13
2,18,1,13
2,23,1,13
3,5,2,13
3,17,3,13
4,0,1,13
4,1,4,13
4,3,1,13
4,15,1,13
7,0,4,13
7,23,1,13
9,13,1,13
10,0,1,13
10,11,1,13
11,19,2,13
12,0,2,13
12,2,5,13
12,3,3,13
12,4,3,13
12,10,1,13
12,20,3,13
12,21,1,13
12,23,2,13
12,27,2,13
14,0,3,13
14,2,1,13
16,24,3,13
17,0,1,13
17,1,1,13
17,21,1,13
17,23,1,13
18,0,1,13
19,0,1,13
20,29,1,13
21,0,6,13
21,5,3,13
21,7,3,13
21,8,2,13
21,18,3,13
22,0,1,13
22,17,3,13
24,1,2,13
25,1,1,13
25,5,1,13
25,9,2,13
25,12,1,13
27,11,2,13
27,19,3,13
28,0,1,13
28,8,2,13
0,1,6,14
0,3,2,14
0,4,3,14
0,7,4,14
0,11,1,14
0,14,1,14
0,23,5,14
0,24,1,14
0,27,1,14
2,0,2,14
2,2,1,14
2,18,1,14
3,0,1,14
3,3,1,14
4,1,2,14
4,6,2,14
6,0,1,14
6,6,1,14
7,0,1,14
10,17,2,14
12,0,7,14
12,3,4,14
12,4,2,14
12,10,1,14
12,17,2,14
12,20,1,14
12,24,1,14
14,0,2,14
16,0,1,14
16,24,3,14
17,1,1,14
17,5,2,14
17,9,3,14
17,10,4,14
17,19,1,14
19,0,1,14
22,0,1,14
23,0,2,14
23,24,2,14
24,0,2,14
24,1,1,14
24,2,1,14
25,0,6,14
25,2,2,14
25,5,1,14
26,0,1,14
26,7,1,14
27,18,1,14
27,19,3,14
29,13,2,14
0,1,2,15
0,2,1,15
0,3,2,15
0,4,2,15
0,7,4,15
0,12,1,15
0,13,2,15
0,17,4,15
0,27,1,15
2,0,1,15
2,29,1,15
4,0,1,15
4,4,2,15
4,15,2,15
7,3,2,15
7,22,2,15
9,13,1,15
9,19,3,15
9,28,1,15
10,0,1,15
10,26,1,15
12,0,1,15
12,2,4,15
12,3,3,15
12,4,1,15
12,17,1,15
12,20,1,15
12,25,1,15
12,29,2,15
14,1,3,15
15,22,1,15
16,12,3,15
17,0,2,15
17,1,2,15
17,2,1,15
17,15,2,15
17,21,1,15
18,12,1,15
21,13,2,15
22,0,3,15
22,9,1,15
24,0,2,15
24,2,1,15
24,5,1,15
26,0,2,15
26,13,1,15
26,26,2,15
27,1,1,15
27,5,2,15
27,19,3,15
28,11,2,15
29,11,2,15
0,1,3,16
0,4,3,16
0,7,3,16
0,8,1,16
0,9,1,16
0,19,1,16
0,24,2,16
2,2,1,16
2,15,2,16
2,18,2,16
2,23,1,16
4,1,2,16
4,3,2,16
4,5,1,16
4,7,1,16
4,9,1,16
7,15,2,16
9,13,2,16
10,9,1,16
10,26,1,16
12,0,2,16
12,2,2,16
14,0,2,16
16,12,1,16
16,17,1,16
16,24,3,16
16,26,1,16
16,28,1,16
17,1,1,16
17,2,1,16
18,0,2,16
22,0,5,16
22,2,1,16
22,6,1,16
23,3,1,16
24,21,3,16
26,14,8,16
27,2,1,16
29,8,1,16
0,2,3,17
0,4,1,17
0,6,7,17
0,7,4,17
0,8,2,17
0,9,3,17
0,11,1,17
0,20,2,17
0,26,1,17
1,6,2,17
2,28,2,17
2,29,1,17
3,0,1,17
3,4,2,17
4,0,1,17
4,3,1,17
4,9,1,17
5,0,1,17
7,0,3,17
7,5,2,17
7,7,1,17
7,22,2,17
10,11,2,17
10,14,1,17
11,17,1,17
12,0,1,17
12,2,1,17
12,3,1,17
12,14,1,17
12,16,2,17
12,20,4,17
12,21,1,17
12,25,2,17
12,26,1,17
14,0,3,17
18,19,1,17
22,0,6,17
22,4,1,17
22,10,1,17
23,1,1,17
24,0,3,17
24,2,3,17
24,18,2,17
25,9,1,17
25,27,2,17
26,9,3,17
26,14,5,17
28,11,2,17
0,1,2,18
0,2,2,18
0,3,1,18
0,6,5,18
0,8,2,18
0,11,3,18
0,16,1,18
0,18,1,18
0,19,1,18
0,23,2,18
2,7,1,18
2,9,1,18
2,18,1,18
4,0,3,18
7,5,1,18
9,0,1,18
9,13,2,18
9,14,2,18
10,0,2,18
10,28,1,18
12,0,1,18
12,4,2,18
12,13,1,18
12,16,1,18
12,18,1,18
12,20,2,18
12,21,1,18
14,0,2,18
16,0,2,18
16,7,1,18
17,0,1,18
18,8,3,18
18,14,2,18
19,0,1,18
19,7,2,18
22,0,6,18
22,1,1,18
22,10,1,18
22,19,1,18
24,1,1,18
25,27,1,18
26,0,4,18
26,5,2,18
27,2,1,18
27,19,3,18
29,14,2,18
0,1,4,19
0,2,4,19
0,4,1,19
0,5,2,19
0,6,5,19
0,7,2,19
0,23,3,19
0,27,1,19
1,0,2,19
1,10,1,19
1,22,2,19
2,0,1,19
2,18,1,19
3,4,1,19
3,11,3,19
4,0,2,19
7,0,1,19
7,7,1,19
7,22,2,19
9,14,2,19
12,0,3,19
12,3,1,19
12,9,1,19
12,20,3,19
12,26,1,19
14,0,4,19
14,7,1,19
16,1,1,19
17,1,1,19
20,14,1,19
21,19,1,19
22,0,1,19
25,0,3,19
28,11,2,19
28,17,1,19
0,1,1,20
0,4,1,20
0,5,2,20
0,6,4,20
0,7,6,20
0,8,3,20
0,10,1,20
0,23,10,20
0,27,2,20
0,29,1,20
2,1,3,20
2,2,2,20
2,18,2,20
3,14,1,20
3,21,1,20
4,0,2,20
4,4,2,20
4,5,2,20
6,0,1,20
6,6,1,20
7,0,1,20
7,4,2,20
7,22,2,20
10,0,1,20
10,9,1,20
12,0,3,20
12,3,4,20
12,4,1,20
12,5,3,20
12,20,2,20
14,0,4,20
16,8,1,20
16,26,2,20
17,1,4,20
18,5,2,20
20,14,2,20
21,4,3,20
22,0,7,20
22,6,1,20
24,0,1,20
24,1,1,20
24,3,1,20
24,5,1,20
24,10,2,20
24,16,1,20
24,17,3,20
24,20,2,20
25,0,12,20
25,3,1,20
26,14,4,20
26,28,2,20
27,3,2,20
28,11,2,20
29,27,2,20
0,1,4,21
0,2,2,21
0,6,5,21
0,7,6,21
0,8,1,21
0,9,2,21
0,14,1,21
0,16,1,21
0,17,1,21
0,19,2,21
0,22,1,21
0,28,1,21
1,10,1,21
2,0,2,21
3,5,1,21
3,11,3,21
3,21,1,21
3,24,1,21
4,0,2,21
4,14,1,21
7,9,2,21
7,21,1,21
9,13,1,21
9,14,2,21
10,0,1,21
12,2,5,21
12,4,1,21
12,5,1,21
12,6,1,21
12,17,1,21
12,20,2,21
12,25,1,21
13,0,1,21
14,0,1,21
14,1,2,21
14,4,2,21
18,0,1,21
18,1,1,21
18,14,1,21
20,8,2,21
21,0,1,21
21,1,1,21
21,7,2,21
21,12,1,21
22,0,8,21
22,2,1,21
22,17,1,21
24,6,1,21
24,9,1,21
25,5,1,21
25,9,3,21
25,29,3,21
26,14,2,21
26,18,6,21
28,17,2,21
0,1,5,22
0,3,2,22
0,4,2,22
0,5,3,22
0,6,3,22
0,7,4,22
0,8,7,22
0,9,2,22
0,16,1,22
0,19,2,22
0,27,2,22
1,0,2,22
2,0,3,22
2,1,3,22
2,3,1,22
2,4,1,22
2,15,1,22
2,25,2,22
4,0,1,22
4,1,3,22
4,18,1,22
4,20,1,22
4,21,2,22
6,0,1,22
6,6,1,22
7,0,2,22
7,22,4,22
9,3,2,22
9,13,4,22
9,14,2,22
9,19,1,22
10,0,6,22
10,19,1,22
11,2,1,22
12,0,5,22
12,2,13,22
12,3,2,22
12,4,2,22
12,5,3,22
12,13,2,22
12,20,4,22
12,21,1,22
13,0,1,22
14,0,6,22
14,1,1,22
14,4,2,22
16,0,2,22
16,11,1,22
17,0,2,22
17,1,1,22
17,5,1,22
17,12,2,22
17,23,1,22
18,19,3,22
19,4,2,22
20,14,2,22
22,0,1,22
24,6,2,22
25,3,1,22
26,0,1,22
27,3,1,22
27,15,1,22
28,7,1,22
29,7,3,22
0,2,4,23
0,3,4,23
0,4,1,23
0,5,2,23
0,6,6,23
0,7,6,23
0,8,1,23
0,9,1,23
0,10,1,23
0,14,1,23
0,20,2,23
0,27,3,23
0,28,3,23
1,16,1,23
2,1,1,23
2,8,1,23
3,1,2,23
3,12,2,23
4,0,1,23
4,1,4,23
4,3,2,23
4,11,2,23
7,0,2,23
7,2,2,23
7,6,3,23
7,22,1,23
9,13,1,23
9,14,1,23
9,18,2,23
10,0,3,23
10,3,2,23
11,0,1,23
12,0,4,23
12,3,9,23
12,9,4,23
12,18,2,23
12,20,4,23
12,21,1,23
14,0,4,23
14,4,1,23
14,10,3,23
16,3,2,23
16,28,2,23
17,1,2,23
17,2,1,23
17,8,2,23
17,9,2,23
17,21,2,23
17,22,2,23
18,0,2,23
18,1,1,23
18,17,1,23
20,19,1,23
21,2,2,23
21,28,1,23
22,0,3,23
22,11,1,23
24,0,1,23
24,1,2,23
24,9,2,23
26,8,2,23
26,19,1,23
26,28,1,23
27,9,2,23
29,28,1,23
0,1,8,24
0,2,3,24
0,4,4,24
0,5,1,24
0,6,2,24
0,7,3,24
0,8,1,24
0,10,1,24
0,14,1,24
0,16,2,24
0,17,1,24
0,20,1,24
0,23,4,24
0,27,2,24
2,0,1,24
2,4,1,24
2,10,1,24
2,29,1,24
4,0,3,24
4,1,2,24
4,8,1,24
4,18,1,24
4,26,1,24
7,21,1,24
9,8,2,24
9,23,1,24
10,0,3,24
10,5,2,24
10,6,1,24
10,12,2,24
12,0,6,24
12,2,1,24
12,3,3,24
12,4,1,24
12,5,1,24
12,18,5,24
12,23,4,24
14,0,2,24
16,28,3,24
17,2,3,24
17,19,2,24
17,29,1,24
18,0,1,24
20,19,1,24
22,0,4,24
22,3,3,24
24,5,1,24
25,0,1,24
25,3,2,24
25,9,3,24
25,12,1,24
26,13,1,24
26,28,1,24
28,0,1,24
28,17,3,24
0,1,1,25
0,2,1,25
0,3,2,25
0,4,3,25
0,5,1,25
0,6,8,25
0,7,9,25
0,8,5,25
0,10,2,25
0,13,2,25
0,17,1,25
0,23,1,25
2,0,5,25
2,1,1,25
2,9,4,25
2,23,3,25
3,2,1,25
3,21,1,25
3,22,2,25
4,1,1,25
4,3,2,25
4,4,5,25
4,9,1,25
4,15,1,25
4,20,2,25
4,23,3,25
7,0,2,25
7,6,1,25
7,22,2,25
10,0,1,25
10,11,1,25
11,10,2,25
11,13,1,25
12,0,1,25
12,2,4,25
12,3,4,25
12,5,1,25
12,9,2,25
12,16,1,25
12,18,2,25
12,21,3,25
12,29,1,25
13,16,1,25
14,0,4,25
14,10,1,25
17,0,2,25
17,1,1,25
17,2,1,25
17,4,4,25
18,11,1,25
18,14,1,25
18,19,2,25
21,9,1,25
21,13,1,25
21,14,2,25
22,0,6,25
22,17,1,25
24,0,4,25
24,1,1,25
24,2,1,25
24,5,1,25
24,23,3,25
24,29,1,25
25,0,1,25
25,2,2,25
25,4,3,25
25,5,3,25
25,9,1,25
28,14,2,25
0,1,3,26
0,2,4,26
0,3,4,26
0,4,1,26
0,5,1,26
0,6,4,26
0,7,11,26
0,9,3,26
0,10,2,26
0,13,2,26
0,21,2,26
0,26,1,26
0,27,1,26
2,2,4,26
2,16,3,26
3,0,2,26
3,2,2,26
4,0,1,26
4,5,1,26
4,9,1,26
4,18,1,26
4,24,2,26
7,0,5,26
7,22,2,26
7,24,3,26
9,9,2,26
10,0,4,26
10,5,1,26
10,24,3,26
12,0,4,26
12,2,4,26
12,3,7,26
12,4,2,26
12,9,1,26
12,21,1,26
14,0,8,26
16,0,1,26
16,16,1,26
17,0,3,26
17,1,5,26
17,2,2,26
17,5,1,26
17,18,2,26
17,21,4,26
21,0,4,26
21,4,1,26
21,5,1,26
22,0,10,26
22,1,1,26
22,6,1,26
22,18,2,26
24,0,3,26
24,2,2,26
24,3,2,26
25,0,1,26
25,4,1,26
25,25,2,26
26,5,1,26
26,8,1,26
27,8,3,26
27,9,1,26
29,2,1,26
0,1,8,27
0,2,1,27
0,3,2,27
0,4,1,27
0,5,2,27
0,6,4,27
0,7,12,27
0,8,1,27
0,14,1,27
0,23,2,27
0,26,1,27
0,29,2,27
1,7,2,27
2,0,1,27
2,1,1,27
2,2,3,27
2,3,1,27
2,18,5,27
2,21,2,27
3,0,2,27
3,2,2,27
3,5,2,27
4,0,3,27
4,1,4,27
4,3,3,27
4,5,3,27
4,18,2,27
5,0,2,27
6,0,1,27
7,0,1,27
7,4,1,27
7,6,2,27
7,23,2,27
9,8,3,27
9,10,1,27
9,13,4,27
10,9,2,27
10,16,1,27
11,1,1,27
12,0,10,27
12,2,7,27
12,3,6,27
12,7,1,27
12,9,1,27
12,13,1,27
12,15,2,27
12,20,2,27
12,21,4,27
12,26,3,27
13,0,3,27
14,0,3,27
14,2,1,27
14,8,1,27
17,2,1,27
17,4,1,27
17,5,3,27
17,18,1,27
17,21,4,27
20,8,4,27
22,0,9,27
22,2,3,27
22,26,1,27
24,1,2,27
24,3,1,27
24,20,2,27
25,10,2,27
25,12,1,27
25,25,2,27
26,14,1,27
0,1,4,28
0,2,2,28
0,3,2,28
0,4,4,28
0,5,2,28
0,6,3,28
0,7,4,28
0,10,5,28
0,16,1,28
0,17,1,28
0,19,2,28
0,27,2,28
2,3,1,28
2,9,2,28
2,27,2,28
3,1,1,28
3,3,2,28
3,4,5,28
4,1,7,28
4,3,3,28
4,4,2,28
4,5,2,28
4,18,1,28
4,21,2,28
4,26,1,28
7,0,1,28
7,4,2,28
7,6,1,28
7,12,2,28
9,13,2,28
9,14,10,28
9,19,1,28
11,9,2,28
11,17,1,28
12,0,6,28
12,2,6,28
12,4,1,28
12,9,1,28
12,15,2,28
12,20,1,28
12,29,1,28
14,0,5,28
14,10,1,28
16,12,1,28
17,2,1,28
17,4,3,28
17,9,1,28
20,8,4,28
20,19,3,28
22,0,5,28
24,0,1,28
24,5,2,28
24,18,3,28
24,29,4,28
26,14,2,28
27,2,2,28
27,9,3,28
27,10,3,28
29,1,3,28
29,13,1,28
0,1,2,29
0,2,1,29
0,3,1,29
0,4,2,29
0,6,4,29
0,7,6,29
0,8,4,29
0,10,2,29
0,15,1,29
0,20,1,29
2,4,5,29
2,11,1,29
2,29,1,29
3,3,1,29
3,4,1,29
3,5,1,29
4,1,4,29
4,3,2,29
4,5,1,29
4,15,2,29
4,19,1,29
6,0,2,29
7,0,2,29
7,21,1,29
7,22,1,29
9,11,2,29
10,0,3,29
10,14,1,29
10,17,1,29
12,0,2,29
12,2,6,29
12,3,5,29
12,4,3,29
12,9,1,29
12,16,2,29
12,17,1,29
12,20,2,29
13,27,2,29
14,0,5,29
15,0,1,29
16,8,1,29
16,11,1,29
17,1,5,29
17,2,2,29
17,4,2,29
17,15,1,29
17,21,3,29
18,14,2,29
22,0,3,29
22,10,2,29
23,0,2,29
24,1,5,29
24,2,3,29
24,5,8,29
24,29,1,29
26,13,1,29
28,1,1,29
29,8,1,29
0,1,9,30
0,2,1,30
0,6,5,30
0,7,1,30
0,8,4,30
0,10,2,30
0,12,4,30
0,16,1,30
0,19,2,30
0,29,2,30
2,2,1,30
2,4,5,30
2,18,1,30
3,0,1,30
3,1,1,30
3,2,1,30
4,0,2,30
4,1,3,30
4,5,4,30
4,9,1,30
4,18,1,30
7,0,2,30
7,1,4,30
7,6,1,30
7,21,1,30
7,22,2,30
9,7,2,30
9,11,1,30
10,0,6,30
10,4,1,30
10,19,1,30
10,27,1,30
12,0,8,30
12,2,3,30
12,3,6,30
12,4,3,30
12,18,1,30
12,20,3,30
12,23,2,30
14,0,4,30
14,3,2,30
14,10,2,30
15,0,1,30
16,0,2,30
16,4,1,30
17,0,1,30
17,1,1,30
17,2,1,30
17,8,1,30
17,9,2,30
17,11,2,30
17,21,3,30
18,1,1,30
20,8,1,30
20,16,2,30
22,0,3,30
22,12,2,30
24,8,1,30
24,29,3,30
26,8,1,30
26,13,1,30
26,25,1,30
26,26,2,30
27,17,1,30
0,1,4,31
0,2,3,31
0,3,3,31
0,6,8,31
0,7,2,31
0,8,4,31
0,10,5,31
0,16,2,31
0,17,2,31
0,19,1,31
0,20,1,31
0,27,3,31
1,6,2,31
2,9,1,31
2,29,2,31
3,5,2,31
4,1,4,31
4,3,3,31
4,4,1,31
4,15,4,31
4,18,1,31
4,21,1,31
6,0,1,31
7,0,3,31
7,3,1,31
7,21,3,31
7,28,2,31
9,11,2,31
9,13,1,31
10,26,1,31
12,0,4,31
12,2,3,31
12,3,5,31
12,4,2,31
12,10,4,31
12,15,3,31
12,18,1,31
12,20,3,31
14,0,11,31
16,4,1,31
16,12,1,31
16,16,2,31
17,0,1,31
17,1,3,31
17,2,3,31
17,21,2,31
18,10,2,31
20,12,2,31
21,0,1,31
22,0,5,31
22,29,2,31
24,0,3,31
24,1,1,31
24,19,2,31
24,29,1,31
25,0,2,31
26,0,1,31
26,12,2,31
27,0,1,31
28,1,1,31
28,17,2,31
0,1,3,32
0,4,2,32
0,6,1,32
0,7,6,32
0,8,2,32
0,9,1,32
0,10,2,32
0,11,2,32
0,14,1,32
0,17,2,32
2,1,1,32
2,2,1,32
2,9,3,32
3,1,1,32
4,0,1,32
4,1,4,32
4,9,3,32
6,0,2,32
7,0,3,32
7,3,2,32
7,22,4,32
9,1,1,32
9,19,2,32
10,11,1,32
10,19,1,32
11,1,1,32
12,0,8,32
12,2,8,32
12,3,4,32
12,4,1,32
12,5,1,32
12,7,2,32
12,12,1,32
12,15,2,32
12,18,1,32
12,25,1,32
14,0,3,32
16,0,3,32
16,12,1,32
16,17,3,32
17,1,6,32
17,2,2,32
17,4,2,32
17,5,1,32
17,10,4,32
17,21,6,32
19,5,1,32
21,0,1,32
21,2,2,32
22,0,12,32
24,0,1,32
24,1,2,32
24,15,3,32
24,29,1,32
25,4,1,32
26,0,1,32
26,12,1,32
26,19,2,32
28,11,2,32
0,1,10,33
0,4,2,33
0,6,4,33
0,7,6,33
0,8,2,33
0,10,3,33
0,13,1,33
0,20,1,33
2,13,1,33
2,18,4,33
3,2,2,33
3,4,2,33
3,5,5,33
4,1,2,33
4,4,2,33
4,18,4,33
7,0,5,33
7,1,2,33
7,6,1,33
9,11,2,33
9,14,7,33
10,0,1,33
10,4,2,33
12,0,3,33
12,2,2,33
12,3,4,33
12,4,3,33
12,9,3,33
12,13,2,33
12,20,1,33
12,21,1,33
12,27,2,33
14,0,1,33
14,10,1,33
16,8,1,33
16,11,2,33
16,13,1,33
17,0,1,33
17,1,2,33
